key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
Sign up to enable safe instant messaging,Sign up to enable safe instant messaging,Inicia sesión para activar la mensajería instantánea segura,Abonnez-vous pour activer la messagerie instantanée sécurisée,Inscreva-se para ativar o serviço de mensagens instantâneas seguras,Registrati per consentire una messaggistica istantanea sicura,"Registrieren Sie sich, um sichere Sofortnachrichten zu aktivieren.",Πραγματοποιήστε εγγραφή για να ενεργοποιήσετε την ασφαλή υπηρεσία άμεσης ανταλλαγής μηνυμάτων,Güvenli anında mesajlaşmayı etkinleştirmek için kaydolun,Registreer om veilige kitsboodskappe te aktiveer
"Then monthly subscription of <iapPrice>. No commitment, cancel anytime.","Then monthly subscription of <iapPrice>. No commitment, cancel anytime.","Después, una suscripción mensual de <iapPrice>. Podrá cancelarla en cualquier momento sin compromiso alguno.","Abonnement mensuel de <iapPrice>. Sans engagement, vous pouvez y mettre fin à tout moment.","Depois terá uma subscrição mensal de <iapPrice>. Sem compromisso, poderá cancelar a qualquer altura.","Poi ci sarà un abbonamento mensile di <iapPrice>. Nessun obbligo, puoi annullarlo in qualsiasi momento.","Dann ein monatliches Abonnement für <iapPrice>. Keine Verpflichtung, jederzeit kündbar.","Στη συνέχεια, μηνιαία συνδρομή <iapPrice>. Καμία δέσμευση, μπορείτε να την ακυρώσετε οποτεδήποτε.","Aylık abonelik ücreti <iapPrice>. Taahhüt gerektirmez, istediğiniz zaman iptal edebilirsiniz.","Daarna is die maandelikse intekening <iapPrice>. Geen verpligting nie, kanselleer enige tyd."
"Unlimited access for <iapPrice> per month to everything while subscribed. Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews each month unless auto-renew is turned off at least 24-hours before the end of the current period. Your account will be charged for renewal within 24-hours prior to the end of the current period at <iapPrice>. You can manage your subscription and turn auto-renewal on or off by going to your App Store Account Settings after purchase. Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription, where applicable.","Unlimited access for <iapPrice> per month to everything while subscribed. Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews each month unless auto-renew is turned off at least 24- hours before the end of the current period. Your account will be charged for renewal within 24-hours prior to the end of the current period at <iapPrice>. You can manage your subscription and turn auto-renewal on or off by going to your App Store Account Settings after purchase. Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription, where applicable","Acceso ilimitado a todo el contenido por <iapPrice> al mes mientras dure la suscripción El pago se hará efectivo a través de tu cuenta de iTunes al confirmar la compra La suscripción mensual se renueva automáticamente siempre que esta opción no se haya desactivado al menos 24 horas antes del final del periodo actual Se facturará la renovación de tu cuenta en las 24 horas anteriores al final del período actual a un precio de <iapPrice> Tras la compra, puedes gestionar tu suscripción y activar o desactivar la renovación automática desde los ajustes de tu cuenta de App Store La parte no disfrutada de un posible período de prueba gratuito se perderá al adquirir una suscripción.","Accès illimité à tout le contenu pour <iapPrice> par mois. Le paiement sera effectué sur votre compte iTunes une fois l'achat confirmé L'abonnement se renouvelle automatiquement tous les mois sauf si cette option est désactivée au moins 24 heures avant la fin de la période en cours. Votre compte sera facturé <iapPrice> pour le renouvellement dans les 24 heures précédant la fin de la période en cours Vous pouvez gérer votre abonnement et désactiver le renouvellement automatique depuis les paramètres de compte de votre App Store après l'achat Toute portion inutilisée d'un essai gratuit, si vous en bénéficiez, sera perdue lorsque vous souscrirez.","Acesso ilimitado por <iapPrice> a tudo durante o seu período de subscrição O pagamento será efetuado através da sua Conta iTunes na confirmação da compra A subscrição é renovada automaticamente todos os meses, exceto caso seja desativada pelo menos 24 horas antes do fim do período atual A renovação será cobrada à sua conta nas 24 horas antes do fim do período atual por <iapPrice> Pode gerir a sua subscrição e ativar ou desativar a renovação automática nas suas Definições da Conta da App Store após a compra Qualquer parte do período gratuito de utilização, caso este seja oferecido, que não tenha sido utilizada será perdida quando adquirir uma subscrição, caso seja aplicável.","Con l'abbonamento, ottieni l'accesso illimitato a ogni contenuto per <iapPrice> al mese Il pagamento sarà addebitato al tuo account iTunes alla conferma dell'acquisto. L'abbonamento si rinnova automaticamente ogni mese a meno di disattivare il rinnovo automatico almeno 24 ore prima del termine dell'attuale periodo di abbonamento. Al tuo account sarà addebitato il costo per il rinnovo di <iapPrice>entro 24 ore prima della fine del periodo attuale di abbonamento. Puoi gestire il tuo abbonamento e attivare o disattivare il rinnovo automatico andando nelle mpostazioni del tuo account App Store dopo l'acquisto. • Ogni parte non utilizzata di un periodo di prova gratuita, se offerto, sarà aggiunta al momento dell'acquisto di un abbonamento, dove applicabile.","Unbegrenzter Zugriff auf alle Inhalte bei einem Abonnement für <iapPrice> pro Monat. Bei Kaufbestätigung wird das iTunes-Konto mit der Zahlung belastet. Das Abonnement verlängert sich jeden Monat automatisch, sofern die automatische Verlängerung nicht mindestens 24 Stunden vor Ablauf des aktuellen Zeitraums ausgeschaltet wird. Ihr Konto wird innerhalb von 24 Stunden vor Ablauf des Zeitraums mit<iapPrice> für die Verlängerung belastet. Sie können Ihr Abonnement verwalten und die automatische Verlängerung ein- oder ausschalten,wenn Sie nach dem Erwerb im App Store Ihre Konto-Einstellungen aufrufen. Jeder nicht genutzte Teil einer kostenlosen Testversion, falls angeboten, verfällt beim Kauf eines Abonnements gegebenenfalls.","Απεριόριστη πρόσβαση σε όλο το περιεχόμενο με <iapPrice> τον μήνα για όσο διαρκεί η συνδρομή. Η πληρωμή θα χρεωθεί στον Λογαριασμό iTunes κατά την επιβεβαίωση της αγοράς • Η συνδρομή ανανεώνεται αυτόματα κάθε μήνα εκτός εάν η αυτόματη ανανέωση απενεργοποιηθεί τουλάχιστον 24 ώρες πριν από το τέλος της τρέχουσας περιόδου. Ο λογαριασμός σας θα χρεωθεί για την ανανέωση με <iapPrice> τις τελευταίες 24 ώρες πριν από το τέλος της τρέχουσας περιόδου Μπορείτε να διαχειριστείτε τη συνδρομή σας και να ενεργοποιήσετε ή να απενεργοποιήσετε την αυτόματη ανανέωση μεταβαίνοντας στις Ρυθμίσεις του λογαριασμού σας στο App Store μετά την αγορά Οποιοδήποτε αχρησιμοποίητο τμήμα μιας δωρεάν δοκιμαστικής περιόδου, εάν διατίθεται, ακυρώνεται όταν αγοράσετε μια συνδρομή, όπου ισχύει.","Abonelik esnasında aylık <iapPrice>. karşılığında her şeye sınırsız erişim. Ödeme, satın almanın onaylanmasıyla birlikte iTunes Hesabından alınır Mevcut dönemin bitiminden en az 24 saat önce otomatik yenilenme kapatılmadığı sürece abonelik her ay yenilenir Mevcut dönemin bitiminden önceki 24 saat içinde hesabınızdan yenileme ücreti olan <iapPrice> alınır Satın alma işleminden sonra App Store'un Hesap Ayarları bölümüne giderek aboneliğinizi yönetebilir veya otomatik yenilemeyi açabilir ya da kapatabilirsiniz Uygun durumlarda, bir ücretsiz deneme teklifi sunulmuşsa bir abonelik satın almanız halinde bunu sürenin kalan kullanılmamış kısmı kaybedilir.","Onbeperkte toegang vir <iapPrice> per maand, met toegang tot alles terwyl jy ’n intekening het Betaling sal gehaal word van iTunes-rekening sodra jy die aankoop bevestig. Intekening hernu outomaties elke maand, tensy jy outohernu ten minste 24 uur voor die einde van die huidige intekening afskakel. Binne 24 uur voor die einde van die huidige tydperk sal <iapPrice> van jou rekening gehaal word vir hernuwing. Jy kan jou intekening bestuur en outohernuwing aan- of afskakel nadat jy gekoop het, via jou programwinkel se rekeninginstellings Indien daar ’n gratis proeflopie was, sal enige ongebruikte gedeelte daarvan verdwyn wanneer jy ’n intekening koop."
Subscribe with free 7-day trial,Subscribe with free 7-day trial,Suscríbete y disfruta de un periodo de prueba de 7 días,Profitez d'un essai de 7 jours gratuits avant de vous abonner,Subscrever com período de avaliação gratuito de 7 dias,Abbonati con una prova gratuita di 7 giorni,Eine kostenlose 7-Tage-Testversion abonnieren,Γίνετε συνδρομητής με δωρεάν δοκιμαστική περίοδο 7 ημερών,7 günlük ücretsiz denemeyle abone olun,Teken in met ’n gratis 7-dag-proeflopie
Important privacy notice for parents,Important privacy notice for parents,Aviso de privacidad importante para padres,Note importante sur la confidentialité à l'attention des parents,Aviso importante sobre privacidade para os pais,Avviso importante sulla privacy per i genitori,Wichtiger Datenschutzhinweis für Eltern,Σημαντική ειδοποίηση απορρήτου για γονείς,Ebeveynler için önemli gizlilik bildirimi,Belangrike privaatheidskennisgewing vir ouers
Restore your purchase,Restore your purchase,Restablece tu compra,Restaurer votre achat,Restaurar a sua compra,Ripristina il tuo acquisto,Kauf wiederherstellen,Ανάκτηση αγοράς,Satın almanızı geri yükleyin,Stel jou aankoop terug
Unlock award-winning kids’ games & videos,Unlock award-winning kids’ games & videos,Desbloquea juegos y vídeos infantiles galardonados,Accédez à des jeux et vidéos récompensés pour enfants,Desbloqueie jogos e vídeos infantis premiados,Sblocca giochi e video pluripremiati per bambini,Preisgekrönte Spiele und Videos für Kinder freischalten,Ξεκλειδώστε βραβευμένα παιχνίδια και βίντεο για παιδιά,Ödüllü çocuk oyunları ve videolara erişim kazanın,Ontsluit bekroonde kinderspeletjies en -video’s
Unlock everything. New games every week,Unlock everything. New games every week,Desbloquéalo todo. Juegos nuevos cada semana,Débloquez tout. Des nouveaux jeux chaque semaine,Desbloquear tudo. Jogos novos todas as semanas,Sblocca tutto. Nuovi giochi ogni settimana,Alles freischalten. Jede Woche neue Spiele,Ξεκλειδώστε όλο το περιεχόμενο. Νέα παιχνίδια κάθε εβδομάδα,Her şeye erişim kazanın. Her hafta yeni oyunlar,Ontsluit alles. Nuwe speletjies elke week
Unlock 1000+ hand-picked videos,Unlock 1000+ hand-picked videos,Desbloquea mas de 1000 vídeos seleccionados,Débloquez plus de 1 000 vidéos sélectionnées par nos soins,Desbloqueie mais de 1000 vídeos escolhidos criteriosamente,Sblocca oltre 1.000 video selezionati,Mehr als 1.000 ausgewählte Videos freischalten,Ξεκλειδώστε 1000+ επιλεγμένα βίντεο,Özenle seçilmiş 1000'in üzerinde videoya erişim kazanın,Ontsluit 1000+ uitgesoekte video’s
Hey that was great gaming!,Hey that was great gaming!,¡Oye! ¡Has jugado de fábula!,"Super, tu as bien joué !","Ena, isso é que foi jogar!","Ehi, quello sì che si chiama giocare!","Hey, das Spielen hat Spaß gemacht!",Φοβερό παιχνίδι!,"Hey, harika bir oyundu!","Sjoe, die speletjie was fantasties!"
or have a go at,or have a go at,o prueba,ou essaie,ou experimenta,o vai su,oder probiere:,ή δοκίμασε,veya şunu bir dene:,of probeer gerus
or you could watch this amazing video:,or you could watch this amazing video:,o puedes ver este alucinante vídeo:,tu peux aussi regarder cette vidéo :,ou podes ver este vídeo espantoso:,o puoi guardare questo fantastico video:,oder du könntest dieses tolle Video ansehen:,ή θα μπορούσες να παρακολουθήσεις αυτό το φοβερό βίντεο:,ya da bu muhteşem videoyu izleyebilirsin:,of jy kan hierdie ongelooflike video kyk:
That was a great video!,That was a great video!,¡El vídeo ha molado mogollón!,Cette vidéo était super !,Esse vídeo foi fantástico!,Ho visto un fantastico video!,Das war ein tolles Video!,Αυτό το βίντεο ήταν υπέροχο!,Bu harika bir videoydu!,Dit was ’n mooi video!
Why not check this out?,Why not check this out?,¿Por qué no le echas un ojo a esto?,Jette un coup d'œil à ça !,Porque não experimentas isto?,Perché non dai un’occhiata qui?,Warum guckst du dir das hier nicht mal an?,Γιατί δεν δοκιμάζεις αυτό;,Buna neden bir bakmıyorsun?,Kyk gerus hierna.
Here's a cool game to try:,Here's a cool game to try:,Prueba este divertidísimo juego:,Tu peux aussi essayer ce jeu :,Aqui tens um jogo incrível para experimentares:,Ecco un gioco fantastico da provare:,Probier mal dieses coole Spiel aus:,Να ένα τέλειο παιχνίδι για να δοκιμάσεις:,İşte denemen için harika bir oyun:,Hier is ’n oulike speletjie om te probeer:
Payment successful!,Payment successful!,Pago realizado con éxito.,Paiement réussi !,Pagamento com sucesso!,Pagamento avvenuto!,Zahlung erfolgreich!,Επιτυχής πληρωμή!,Ödeme başarılı!,Betaling suksesvol!
Your Azoomee account has now been activated,Your Azoomee account has now been activated,Has activado tu cuenta de Azoomee,Votre compte Azoomee est désormais actif,A sua conta Azoomee foi agora ativada,Ora il tuo account Azoomee è stato attivato,Ihr Azoomee-Konto ist jetzt aktiviert.,Ο λογαριασμός σας στο Azoomee έχει ενεργοποιηθεί,Azoomee hesabınız etkinleştirildi,Jou Azoomee-rekening is nou geaktiveer
Oops. Something went wrong,Oops. Something went wrong,¡Vaya! Algo ha ido mal,Oups. Une erreur est survenue,Ops. Algo correu mal,Ops Si è verificato un problema.,Hoppla. Etwas ist schiefgelaufen,Ωχ. Παρουσιάστηκε κάποιο πρόβλημα,Hay aksi. Bir sorun oluştu,Oeps. Iets het skeefgeloop
We're unable to process your payment.,We're unable to process your payment.,No hemos podido procesar tu pago.,Nous n'avons pas pu traiter votre paiement.,Não foi possível processar o seu pagamento.,Non abbiamo potuto elaborare il tuo pagamento.,Wir konnten Ihre Zahlung nicht bearbeiten.,Δεν ήταν δυνατή η επεξεργασία της πληρωμής σας.,Ödemeni işleminizi sonuçlandıramıyoruz.,Ons kan nie jou betaling verwerk nie.
Try again,Try again,Reintentar,Réessayer,Tente novamente,Riprova,Erneut versuchen,Δοκιμάστε ξανά,Yeniden deneyin,Probeer weer
You now have a Premium account! Now personalise your child's experience,You now have a Premium account! Now personalise your child's experience,¡Ahora tienes una cuenta Premium! Personaliza la experiencia de tu hijo,Vous disposez désormais d'un compte Premium ! Personnalisez l'expérience de votre enfant,Já possui uma conta Premium! Agora personalize a experiência dos seus filhos,Ora hai un account premium! Personalizza l'esperienza del tuo bambino,Sie haben jetzt ein Premium-Konto! Gestalten Sie nun individuell das Erlebnis Ihres Kindes.,Τώρα έχετε έναν Premium λογαριασμό! Τώρα μπορείτε να εξατομικεύσετε την εμπειρία του παιδιού σας,Artık bir Premium hesabınız var! Şimdi çocuğunuzun deneyimini kişiselleştirin,Jy het nou ’n Premium-rekening! Verpersoonlik nou jou kind se ervaring
Now create an Azoomee account to complete the setup.,Now create an Azoomee account to complete the setup.,Crea una cuenta Azoomee para completar la configuración.,Créez un compte Azoomee pour terminer la configuration.,Agora crie uma conta Azoomee para concluir a configuração.,Ora crea un account Azoomee per completare la configurazione.,"Erstellen Sie jetzt ein Azoomee-Konto, um die Einrichtung abzuschließen.",Τώρα δημιουργήστε έναν λογαριασμό Azoomee για να ολοκληρώσετε την εγκατάσταση.,Şimdi kurulumu tamamlamak için bir Azoomee hesabı oluşturun.,Skep nou ’n Azoomee-rekening om die opstelling te voltooi.
Enter parent's email address,Enter parent's email address,Introduce la cuenta de correo electrónico paternal,Saisissez l'adresse e-mail de l'adulte,Introduza o endereço de email dos pais,Inserisci l’indirizzo e-mail del genitore,Geben Sie die E-Mail-Adresse der Eltern ein.,Εισαγάγετε διεύθυνση email του γονέα,Ebeveynin e-posta adresini girin,Voer ouer se e-posadres in
Email doesn't look correct - please check!,Email doesn't look correct - please check!,Dirección de correo electrónico incorrecta. ¡Escríbela de nuevo!,"L'adresse e-mail semble incorrecte, veuillez la vérifier !",O endereço parece não estar correto - confirme!,"L’indirizzo e-mail non sembra corretto, verificalo!",Die E-Mail-Adresse sieht nicht richtig aus – bitte überprüfen Sie diese noch einmal!,Η διεύθυνση email δεν φαίνεται σωστή - παρακαλώ ελέγξτε την!,"E-posta doğru görünmüyor, lütfen kontrol edin!",E-pos lyk nie reg nie – kontroleer asseblief!
"To continue using Azoomee, you must confirm that you are over 18, and that you agree to our Policies.","To continue using Azoomee, you must confirm that you are over 18, and that you agree to our Policies.","Para seguir utilizando Azoomee, debes confirmar que eres mayor de edad y que aceptas nuestras políticas.","Afin d'utiliser Azoomee, vous devez confirmer avoir plus de 18 ans et accepter nos Politiques.","Para continuar a utilizar o Azoomee, deve confirmar que é maior de 18 anos e que aceita as nossas Políticas.","Per continuare a usare Azoomee, devi confermare di avere più di 18 anni, e di accettare le nostre Informative.","Um Azoomee weiter nutzen zu können müssen Sie bestätigen, dass Sie 18 Jahre alt sind und unseren Richtlinien zustimmen.","Για να συνεχίσετε να χρησιμοποιείτε το Azoomee, πρέπει να επιβεβαιώσετε ότι είστε άνω των 18 ετών και ότι συμφωνείτε με τις Πολιτικές μας.",Azoomee'yi kullanmaya devam etmek için 18 yaşından büyük olduğunuzu ve Politikalarımızı kabul ettiğinizi onaylamanız gerekiyor.,"Om voort te gaan en Azoomee te gebruik, moet jy bevestig dat jy ouer as 18 is en dat jy instem tot ons beleide."
Safeguarding your privacy,Safeguarding your privacy,Protegemos tu privacidad,Protection de votre vie privée,Salvaguardar a sua privacidade,Proteggere la propria privacy,Sicherung Ihres Datenschutzes.,Διαφύλαξη απορρήτου,Gizliliğinizi korumak,Beskerming van jou privaatheid
Azoomee takes the protection and usage of your personal data very seriously. We use your personal data for the following purposes,Azoomee takes the protection and usage of your personal data very seriously. We use your personal data for the following purposes,Azoomee se toma muy en serio la protección y el uso de tus datos personales. Usaremos tus datos personales para lo siguiente:,Azoomee prend très à cœur la protection et l'utilisation de vos données personnelles. Nous utilisons vos données personnelles aux fins suivantes,O Azoomee leva a proteção e a utilização dos seus dados pessoais muito a sério. Utilizamos os seus dados pessoais para os seguintes efeitos,Azoomee prende molto seriamente la protezione e l’uso dei tuoi dati personali. Utilizziamo i dati personali per i seguenti scopi,Azoomee nimmt den Schutz und die Verwendung Ihrer personenbezogenen Daten sehr ernst. Wir nutzen Ihre personenbezogenen Daten zu den folgenden Zwecken:,Το Azoomee αντιμετωπίζει με μεγάλη σοβαρότητα την προστασία και τη χρήση των προσωπικών σας δεδομένων. Χρησιμοποιούμε τα προσωπικά σας δεδομένα για τους ακόλουθους σκοπούς,Azoomee kişisel verilerin korunmasına ve kullanımına büyük önem verir. Kişisel verilerinizi aşağıda amaçlar için kullanıyoruz,Azoomee neem die beskerming en gebruik van jou persoonlike data baie ernstig op. Ons gebruik jou persoonlike data vir die volgende doeleindes
•    To create a unique Azoomee account\n•    To contact you when there are important service notifications\n•    To identify your account should you contact us for support,To create a unique Azoomee account\n•    To contact you when there are important service notifications\n•    To identify your account should you contact us for support,•    Para crear una cuenta de Azoomee única\n• Para ponernos en contacto contigo cuando haya notificaciones de servicio importantes\n• Para identificar tu cuenta cuando solicites nuestra ayuda,• Pour créer un compte Azoomee unique\n• Pour vous contacter en cas d'avis de service importants\n• Pour identifier votre compte si vous contactez notre service d'assistance,"• Para criar uma conta Azoomee individual \n• Para o contactar em caso de notificações importantes sobre o serviço \n• Para identificar a sua conta, caso nos contacte para obter assistência",• Per creare un account Azoomee unico.\n• Per contattarti in caso di importanti avvisi di sistema.\n• Per identificare il tuo account nel caso dovessi contattarci per ottenere supporto.,"• Um ein eindeutiges Azoomee-Konto zu erstellen.\n• Um Sie bei einer wichtigen Service-Benachrichtigung zu kontaktieren.\n• Um Ihr Konto zu identifizieren, falls Sie unseren Support kontaktieren.","Για τη δημιουργία ενός μοναδικού λογαριασμού Azoomee Για να επικοινωνούμε μαζί σας, όταν υπάρχουν σημαντικές ειδοποιήσεις υπηρεσιών Για ταυτοποίηση του λογαριασμού σας όταν επικοινωνείτε μαζί μας για υποστήριξη",• Benzersiz bir Azoomee hesabı oluşturmak\n• Önemli hizmet bildirimleri olduğunda sizinle iletişime geçmek\n• Bizimle destek için iletişime geçtiğinizde hesabınızı tanımlamak,"• Om ’n unieke Azoomee-rekening te skep \n• Om jou te kontak wanneer daar belangrike diensberigte is \n• Om jou rekening te identifiseer, indien jy ons kontak vir bystand"
"If you'd like to learn more about how we use the data you provide us, please read our Privacy Policy","If you'd like to learn more about how we use the data you provide us, please read our Privacy Policy",Lee nuestra Política de privacidad para ampliar la información sobre el uso de tus datos,"Si vous souhaitez en savoir plus sur notre utilisation des données que vous nous fournissez, consultez notre Politique de confidentialité","Se gostaria de saber mais sobre a forma como utilizamos os dados que nos faculta, deve ler a nossa Política de Privacidade","Se desideri avere maggiori informazioni su come usiamo i dati che ci fornisci, leggi la nostra Informativa sulla privacy","Weitere Informationen darüber, wie wir die uns zur Verfügung gestellten Daten verwenden,finden Sie in unserer Datenschutzrichtlinie.","Για να μάθετε περισσότερα σχετικά με το πώς χρησιμοποιούμε τα δεδομένα που μας παρέχετε, διαβάστε την Πολιτική Απορρήτου",Bize verdiğiniz verileri nasıl kullandığımızla ilgili daha fazla bilgi almak isterseniz lütfen Gizlilik Politikamızı inceleyin,"As jy meer wil weet oor hoe ons die data gebruik wat jy voorsien, lees asseblief ons privaatheidsbeleid"
Please confirm that:,Please confirm that:,Confirma que:,Veuillez confirmer que :,Deve confirmar que:,Confermi di:,Bitte bestätigen Sie Folgendes:,Παρακαλούμε επιβεβαιώστε ότι:,Lütfen aşağıdakileri onaylayın:,Bevestig asseblief die volgende:
"You agree to our Terms of Service, Acceptable Use Policy and Privacy Policy,","You agree to our Terms of Service, Acceptable Use Policy and Privacy Policy,","Aceptas nuestros Términos de servicio, nuestra Política de uso aceptable y Política de privacidad,","Vous acceptez nos Conditions d'utilisation, notre Politique d'utilisation acceptable et notre Politique de confidentialité,","Aceita os nossos Termos de Serviço, Política de Utilização Aceitável e Política de Privacidade,","Accettare i nostri Termini di servizio, oltre all’Informativa sull’utilizzo e l’Informativa sulla privacy.","Sie stimmen unseren Servicebedingungen, unserer Richtlinie für akzeptable Verwendung und unserer Datenschutzrichtlinie zu,","Συμφωνείτε με τους Όρους Παροχής Υπηρεσίας, την Πολιτική Αποδεκτής Χρήσης και την Πολιτική Απορρήτου,","Kullanım Koşullarımızı, Kabul Edilebilir Kullanım Politikalarımızı ve Gizlilik Politikamızı kabul ettiğinizi,","Jy stem in tot ons diensbepalings, aanvaarbaregebruik-beleid en privaatheidsbeleid,"
You agree to receive marketing materials from Azoomee (optional. You can also opt-out in the future at any time.),You agree to receive marketing materials from Azoomee (optional. You can also opt-out in the future at any time.),Aceptas recibir contenidos publicitarios de Azoomee (opcional. También podrás desactivar esta función cuando quieras).,"Vous acceptez de recevoir des communications marketing d'Azoomee (optionnel, vous pouvez également les désactiver par la suite)",Aceita receber materiais de marketing da Azoomee (opcional. Também pode escolher não receber a qualquer altura.),Accettare di ricevere materiale marketing da Azoomee (Opzionale. Potrai sempre deselezionare tale opzione in qualsiasi momento.),"Sie stimmen zu, Werbung von Azoomee zu erhalten. (Optional. Sie können diese Zustimmung jederzeit zurücknehmen.)","Συμφωνείτε να λαμβάνετε προωθητικό υλικό από το Azoomee (προαιρετικό, μπορείτε να επιλέξετε να μην συμμετέχετε οποιαδήποτε στιγμή στο μέλλον).",Azoomee'nin pazarlama materyallerini göndermesini kabul ettiğinizi (isteğe bağlıdır. Daha sonra istediğiniz zaman abonelikten çıkabilirsiniz.),Jy stem in om bemarkingsmateriaal van Azoomee te ontvang (opsioneel. Jy kan ook enige tyd in die toekoms uitteken).
"Invalid password, must be at least 6 characters.","Invalid password, must be at least 6 characters.",Contraseña no válida (mínimo 6 caracteres).,"Mot de passe invalide, il doit être constitué d'au moins 6 caractères.","Password inválida, deve ter pelo menos 6 caracteres.","Password non valida, deve avere almeno 6 caratteri.","Ungültiges Passwort, es muss mindestens 6 Zeichen lang sein.","Άκυρος κωδικός, πρέπει να αποτελείται από τουλάχιστον 6 χαρακτήρες.","Geçersiz parola, en az 6 karakterden oluşmalıdır.","Ongeldige wagwoord, moet ten minste 6 karakters wees."
Azoomee needs to be updated!,Azoomee needs to be updated!,¡Debes actualizar Azoomee!,Azoomee doit être mis à jour !,O Azoomee tem de ser atualizado!,Azoomee deve essere aggiornato!,Azoomee muss aktualisiert werden!,Απαιτείται ενημέρωση του Azoomee!,Azoomee'nin güncellenmesi gerekiyor!,Azoomee moet bygewerk word!
"It looks like you are using an old version of Azoomee. To continue using Azoomee, please ask a grown-up to update it to the latest version by tapping the button below.","It looks like you are using an old version of Azoomee. To continue using Azoomee, please ask a grown-up to update it to the latest version by tapping the button below.","Parece que estás usando una versión antigua de Azoomee. Para seguir utilizando Azoomee, pídele a un adulto que actualice la aplicación con el botón inferior.","Cette version d'Azoomee est obsolète. Pour continuer à utiliser Azoomee, demande à un adulte de mettre l'application à jour en appuyant sur le bouton ci-dessous.","Parece que estás a utilizar uma versão antiga do Azoomee. Para continuares a utilizar o Azoomee, pede a um adulto para o atualizar para a versão mais recente tocando no botão abaixo.","Al momento stai usando una versione datata di Azoomee. Per continuare a usare Azoomee, chiedi a un adulto di aggiornarlo all’ultima versione disponibile toccando il pulsante in basso.","Offenbar verwendest du eine alte Version von Azoomee. Um Azoomee weiter nutzen zu können, bitte einen Erwachsenen, die Software durch Tippen auf den Button unten auf die neuste Version zu aktualisieren.","Φαίνεται ότι χρησιμοποιείτε μια παλαιότερη έκδοση του Azoomee. Για να συνεχίσετε να χρησιμοποιείτε το Azoomee, ζητήστε από έναν ενήλικα να το αναβαθμίσει στην τελευταία έκδοση πατώντας το πλήκτρο από κάτω.",Görünüşe göre Azoomee'nin eski bir sürümünü kullanıyorsunuz. Azoomee'yi kullanmaya devam etmek için aşağıdaki düğmeye dokunarak bir yetişkinden son sürüme güncellemesini isteyin.,"Dit lyk of jy ’n ou weergawe van Azoomee gebruik. Om voort te gaan om Azoomee te gebruik, vra asseblief ’n volwassene om dit by te werk na die jongste weergawe deur die knoppie hier onder te druk."
Update Azoomee,Update Azoomee,Actualizar Azoomee,Mettre Azoomee à jour,Atualizar o Azoomee,Aggiorna Azoomee,Azoomee aktualisieren,Ενημέρωση Azoomee,Azoomee'yi Güncelle,Werk Azoomee by
Are you sure you want to delete your picture?,Are you sure you want to delete your picture?,¿Seguro que quieres borrar tu foto?,Voulez-vous supprimer votre photo?,De certeza que pretende apagar esta foto?,Vuoi davvero eliminare questa foto?,Möchten Sie dieses Foto wirklich löschen?,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτή την εικόνα;,Bu resmi silmek istediğinden emin misin?,Is jy seker jy wil hierdie prent skrap?
First name or nickname only,First name or nickname only,Solo nombre de pila o apodo,Prénom ou pseudonyme uniquement,Apenas nome próprio ou alcunha,Solo nome o soprannome,Nur Vorname oder Spitzname,Μόνο όνομα ή ψευδώνυμο,Yalnızca ad veya kullanıcı adı,Slegs voornaam of bynaam
DD,DD,DD,JJ,DD,GG,TT,ΗΗ,GG,DD
MM,MM,MM,MM,MM,MM,MMMM,ΜΜ,AA,MM
YYYY,YYYY,AAAA,AAAA,AAAA,AAAA,JJJJ,ΕΕΕΕ,YYYY,JJJJ
Minimum 6 characters,Minimum 6 characters,6 caracteres mínimo,6 caractères minimum,Mínimo de 6 caracteres,Minimo 6 caratteri,Mindestens 6 Zeichen,Τουλάχιστον 6 χαρακτήρες,Minimum 6 karakter,Minimum 6 karakters
Age,Age,Edad,Âge,Idade,Età,Alter,Ηλικία,Yaş,Ouderdom
Enter Friend's Kid Code,Enter Friend's Kid Code,Introducir el código infantil del amigo,Saisissez le code enfant de votre ami(e),Introduza o Código de Criança do amigo,Inserire Codice bambino dell’amico,Kindercode des Freundes eingeben,Εισαγωγή κωδικού παιδιού φίλου,Arkadaşın Çocuk Kodunu Girin,Voer vriend se kinderkode in
Who would you like to share this with?,Who would you like to share this with?,¿Con quién querrías compartir esto?,Avec qui voulez-vous partager ceci ?,Com quem gostaria de partilhar isto?,Con chi vorresti condividerlo?,Mit wem soll das geteilt werden?,Με ποιον θα θέλατε να το μοιραστείτε αυτό;,Bunu kiminle paylaşmak istersiniz?,Met wie wil jy dit deel?
Add Friends,Add Friends,Añadir amigos,Ajouter des amis,Adicionar amigos,Aggiungi amico,Freunde hinzufügen,Προσθήκη φίλων,Arkadaşlar Ekleyin,Voeg vriende by
Save?,Save?,¿Guardar?,Enregistrer ?,Guardar?,Salvare?,Speichern?,Αποθήκευση;,Kaydedilsin mi?,Stoor?
